;tramo;tipo_tramo;punto_idx;punto_id;x_cm;y_cm;z_cm;dist_seg_cm;dist_acum_m;diametro_m_excel;escenario_marea
189;D-E;cerrado;64;Punto 64;-10443,5;-354,2;632,0;326,7295517702677;213,1350800738798;0,2086;Base
190;D-E;cerrado;65;Punto 65;-10512,5;-357,3;312,7;326,685016491421;216,401930238794;0,2086;Base
191;D-E;cerrado;66;Punto 66;-10454,1;-360,4;-8,7;326,6774096872937;219,668704335667;0,2086;Base
192;D-E;cerrado;67;Punto 67;-10277,1;-363,5;-283,3;326,7166509377813;222,9358708450448;0,2086;Base
193;D-E;cerrado;68;Punto 68;-10008,5;-366,6;-469,3;326,7285876687257;226,203156721732;0,2086;Base
194;D-E;cerrado;69;Punto 69;-9689,2;-369,8;-538,4;326,707116543242;229,4702278871644;0,2086;Base
195;D-E;cerrado;70;Punto 70;-9367,8;-372,9;-480,0;326,6774096872952;232,7370019840374;0,2086;Base
196;D-E;cerrado;71;Punto 71;-8863,5;-408,9;-257,6;552,3370800516649;238,2603727845541;0,2086;Base
197;D-E;cerrado;72;Punto 72;-8369,2;-466,8;-18,1;552,3089262360327;243,7834620469144;0,2086;Base
198;D-E;cerrado;73;Punto 73;-7829,9;-496,2;97,9;552,4172788753092;249,3076348356675;0,2086;Base
199;D-E;cerrado;74;Punto 74;-4086,2;-423,6;97,9;3744,403884465456;286,751673680322;0,2086;Base
200;D-E;cerrado;75;Punto 75;-712,5;-422,1;97,9;3373,700333461761;320,4886770149396;0,2086;Base
201;D-E;cerrado;76;Punto 76;-290,4;-364,2;62,6;427,5124676544534;324,7638016914842;0,2086;Base
202;D-E;cerrado;77;Punto 77;0,0;0,0;0,0;469,9920850397377;329,4637225418816;0,2086;Base
203;D-E;cerrado;78;Punto 78;-4086,2;-573,6;97,9;4127,424355454622;370,7379660964278;0,2086;Base
204;D-E;cerrado;79;Punto 79;-712,5;-572,1;97,9;3373,700333461761;404,4749694310454;0,2086;Base
205;D-E;cerrado;80;Punto 80;-290,4;-514,2;62,6;427,5124676544534;408,7500941075899;0,2086;Base
206;D-E;cerrado;81;Punto 81;0,0;-150,0;0,0;469,9920850397377;413,4500149579873;0,2086;Base
207;D-E;cerrado;82;Punto 82;-4086,2;-748,6;97,9;4130,972864834626;454,7597436063336;0,2086;Base
208;D-E;cerrado;83;Punto 83;-712,5;-747,1;97,9;3373,700333461761;488,4967469409512;0,2086;Base
209;D-E;cerrado;84;Punto 84;-290,4;-689,2;62,6;427,5124676544534;492,7718716174957;0,2086;Base
210;D-E;cerrado;85;Punto 85;0,0;-325,0;0,0;469,9920850397377;497,4717924678931;0,2086;Base
211;D-E;cerrado;86;Punto 86;-4086,2;-898,6;97,9;4127,424355454622;538,7460360224393;0,2086;Base
212;D-E;cerrado;87;Punto 87;-712,5;-897,1;97,9;3373,700333461761;572,4830393570569;0,2086;Base
213;D-E;cerrado;88;Punto 88;-290,4;-839,2;62,6;427,5124676544534;576,7581640336015;0,2086;Base
214;D-E;cerrado;89;Punto 89;0,0;-500,0;0,0;450,896396082293;581,2671279944244;0,2086;Base
215;D-E;cerrado;90;Punto 90;-4086,2;-1048,6;97,9;4124,024346436378;622,5073714587882;0,2086;Marea alta
216;D-E;cerrado;91;Punto 91;-712,5;-1047,1;97,9;3373,700333461761;656,2443747934058;0,2086;Marea alta
217;D-E;cerrado;92;Punto 92;-290,4;-989,2;62,6;427,5124676544533;660,5194994699503;0,2086;Marea alta
218;D-E;cerrado;93;Punto 93;0,0;-650,0;0,0;450,896396082293;665,0284634307733;0,2086;Marea alta
219;D-E;cerrado;90;Punto 90;-4086,2;-1198,6;97,9;4124,024346436378;622,5073714587882;0,2086;1.5 m bajo marea alta
220;D-E;cerrado;91;Punto 91;-712,5;-1197,1;97,9;3373,700333461761;656,2443747934058;0,2086;1.5 m bajo marea alta
